codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
564002.156;Marco 64 Euro-Design 60 Mar-Hab/Hab Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Hab/Hab;Habano;5.8;0.0;0.0
564002.113;Marco 64 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Hab;Habano;5.8;0.0;0.0
564002.114;Marco 64 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Hab/Bco;Habano;5.8;0.0;0.0
564002.157;Marco 64 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Tit/Tit;Titanium;5.8;0.0;0.0
564002.111;Marco 64 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Tit;Titanium;5.8;0.0;0.0
564002.112;Marco 64 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Tit/Bco;Titanium;5.8;0.0;0.0
564002.178;Marco 64 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Ant M/Ant M;Ant M;5.8;1.0;0.0
564002.179;Marco 64 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant M;Ant M;5.8;0.0;0.0
564002.180;Marco 64 Euro-Design 60 Bco-Ant M/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Ant M/Bco;Ant M;5.8;0.0;0.0
564002.181;Marco 64 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Black S/Black S;Euro-Design 60 Mar-Black S/Black S;5.8;1.0;0.0
564002.182;Marco 64 Euro-Design 60 Bco-Bco/Black S Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Black S;Blanco;5.8;0.0;0.0
564002.184;Marco 64 Euro-Design 60 Bco-Black S/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Black S/Bco;Blanco;5.8;0.0;0.0
564002.172;Marco 64 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Nut/Nut;Nutmeg;5.8;0.0;0.0
564002.173;Marco 64 Euro-Design 60 Bco-Bco/Nut Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Nut;Nutmeg;5.8;0.0;0.0
564002.174;Marco 64 Euro-Design 60 Bco-Nut/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Nut/Bco;Nutmeg;5.8;0.0;0.0
564002.175;Marco 64 Euro-Design 60 Mar-Qrz/Qrz Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Mar-Qrz/Qrz;Euro-Design 60 Mar-Qrz/Qrz;5.8;0.0;0.0
564002.176;Marco 64 Euro-Design 60 Bco-Bco/Qrz Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Bco/Qrz;Blanco;5.8;0.0;0.0
564002.177;Marco 64 Euro-Design 60 Bco-Qrz/Bco Pres. 5,8 m.;Marco 64;Euro-Design 60;Euro-Design 60 Bco-Qrz/Bco;Blanco;5.8;0.0;0.0
554.022.376;Poste/Travesano 78 Euro-Design 60 Blanco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Blanco;Euro-Design 60 Blanco;5.8;17.0;0.0
564.022.095;Poste/Travesano 78 Euro-Design 60 Mar-Rob/Rob Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Rob/Rob;Roble;5.8;8.0;0.0
564.022.097;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Rob Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Rob;Roble;5.8;0.0;0.0
564.022.081;Poste/Travesano 78 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Rob/Bco;Roble;5.8;0.0;0.0
564.022.098;Poste/Travesano 78 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-Ant L/Ant L;Ant L;5.8;0.0;0.0
564.022.087;Poste/Travesano 78 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant L;Ant L;5.8;0.0;0.0
564.022.086;Poste/Travesano 78 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Bco-Ant L/Bco;Ant L;5.8;0.0;0.0
564.022.083;Poste/Travesano 78 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Poste/Travesano 78;Euro-Design 60;Euro-Design 60 Mar-B.Brow/B.Brow;Black Brown;5.8;0.0;0.0
