// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
510.393.038;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Tit/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Tit/Bco;5.8
510.393.049;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Ant M/Ant M Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Ant M/Ant M;5.8
510.393.050;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Ant M Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Ant M;5.8
510.393.052;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Ant M/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Ant M/Bco;5.8
510.393.053;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Black S/Black S Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Black S/Black S;5.8
510.393.054;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Black S Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Black S;5.8
510.393.055;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Black S/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Black S/Bco;5.8
510.393.042;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Nut/Nut Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Nut/Nut;5.8
510.393.043;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Nut Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Nut;5.8
510.393.044;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Nut/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Nut/Bco;5.8
510.393.045;Hoja T79 Apert. exterior Euro-Desing 60 Mar-Qrz/Qrz Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Qrz/Qrz;5.8
510.393.047;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Bco/Qrz Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Qrz;5.8
510.393.048;Hoja T79 Apert. exterior Euro-Desing 60 Bco-Qrz/Bco Pres. 5,8 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Qrz/Bco;5.8
564.081.310;Hoja Z74 Euro-Design60 Mar-Ant M/Ant M Pres. 6 m.;Hoja Z;;Euro-Design60 Mar-Ant M/Ant M;6
564.081.316;Hoja Z74 Euro-Design60 Mar-Black S/Black S Pres. 6 m.;Hoja Z;;Euro-Design60 Mar-Black S/Black S;6
564.081.304;Hoja Z74 Euro-Design60 Mar-Nut/Nut Pres. 6 m.;Hoja Z;;Euro-Design60 Mar-Nut/Nut;6
564.081.307;Hoja Z74 Euro-Design60 Mar-Qrz/Qrz Pres. 6 m.;Hoja Z;;Euro-Design60 Mar-Qrz/Qrz;6
541.330.790;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Rob/Rob Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Rob/Rob;6
541.330.194;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Rob Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Rob;6
541.330.195;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Rob/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Rob/Bco;6
541.330.200;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Ant L/Ant L Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Ant L/Ant L;6
541.330.201;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Ant L Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Ant L;6
541.330.205;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Ant L/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Ant L/Bco;6
541.330.196;Hoja T94 Apert. exterior Euro-Desing 60 Mar-B.Brow/B.Brow Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-B.Brow/B.Brow;6
541.330.197;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/B.Brow Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/B.Brow;6
541.330.199;Hoja T94 Apert. exterior Euro-Desing 60 Bco-B.Brow/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-B.Brow/Bco;6
541.330.190;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Nog/Nog Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Nog/Nog;6
541.330.191;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Nog Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Nog;6
541.330.192;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Nog/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Nog/Bco;6
541.330.212;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Win/Win Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Win/Win;6
541.330.188;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Win Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Win;6
541.330.189;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Win/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Win/Bco;6
541.330.139;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Mon/Mon Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Mon/Mon;6
541.330.136;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Mon Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Mon;6
541.330.138;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Mon/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Mon/Bco;6
541.330.143;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Negro M./Negro M. Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Negro M./Negro M.;6
541.330.144;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Negro M. Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Negro M.;6
541.330.145;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Negro M./Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Negro M./Bco;6
541.330.162;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Turn/Turn Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Turn/Turn;6
541.330.163;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Turn Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Turn;6
541.330.164;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Turn/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Turn/Bco;6
541.330.166;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Sheff A./Sheff A. Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Sheff A./Sheff A.;6
541.330.160;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Sheff A. Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Sheff A.;6
541.330.161;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Sheff A./Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Sheff A./Bco;6
541.330.175;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Hab/Hab Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Hab/Hab;6
541.330.176;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Hab Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Hab;6
541.330.177;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Hab/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Hab/Bco;6
541.330.169;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Tit/Tit Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Tit/Tit;6
541.330.173;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Bco/Tit Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Bco/Tit;6
541.330.174;Hoja T94 Apert. exterior Euro-Desing 60 Bco-Tit/Bco Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Bco-Tit/Bco;6
541.330.232;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Ant M/Ant M Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Ant M/Ant M;6
541.330.246;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Bco/Ant M Pres. 6 m.;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Bco/Ant M;6
541.330.247;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Ant M/Bco Pres. 6 m;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Ant M/Bco;6
541.330.236;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Black S/Black S Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Black S/Black S;6
541.330.248;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Bco/Black S Pres. 6 m.;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Bco/Black S;6
541.330.249;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Black S/Bco Pres. 6 m;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Black S/Bco;6
541.330.222;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Nut/Nut Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Nut/Nut;6
541.330.226;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Bco/Nut Pres. 6 m.;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Bco/Nut;6
541.330.244;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Nut/Bco Pres. 6 m;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Nut/Bco;6
541.330.228;Hoja T94 Apert. exterior Euro-Desing 60 Mar-Qrz/Qrz Pres. 6 m.;Hoja T;;Apert. exterior Euro-Desing 60 Mar-Qrz/Qrz;6
541.330.230;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Bco/Qrz Pres. 6 m.;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Bco/Qrz;6
541.330.245;Hoja T94 Apert.exterior Euro-Desing 60 Bco-Qrz/Bco Pres. 6 m;Hoja T;;Apert.exterior Euro-Desing 60 Bco-Qrz/Bco;6
541.350.316;Hoja Z98 puerta calle EuroDesign 60 Mar-Ant M/ Ant M. Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Mar-Ant M/ Ant M.;6.5
541.350.317;Hoja Z98 puerta calle EuroDesign 60 Bco-Bco/Ant M Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Bco/Ant M;6.5
541.350.318;Hoja Z98 puerta calle EuroDesign 60 Bco-Ant M/Bco Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Ant M/Bco;6.5
541.350.319;Hoja Z98 puerta calle EuroDesign 60 Mar-Black S/ Black S. Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Mar-Black S/ Black S.;6.5
541.350.320;Hoja Z98 puerta calle EuroDesign 60 Bco-Bco/Black S Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Bco/Black S;6.5
541.350.322;Hoja Z98 puerta calle EuroDesign 60 Bco-Black S/Bco Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Black S/Bco;6.5
541.350.307;Hoja Z98 puerta calle EuroDesign 60 Mar-Nut/ Nut. Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Mar-Nut/ Nut.;6.5
541.350.309;Hoja Z98 puerta calle EuroDesign 60 Bco-Bco/Nut Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Bco/Nut;6.5
541.350.310;Hoja Z98 puerta calle EuroDesign 60 Bco-Nut/Bco Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Nut/Bco;6.5
541.350.311;Hoja Z98 puerta calle EuroDesign 60 Mar-Qrz/ Qrz. Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Mar-Qrz/ Qrz.;6.5
541.350.312;Hoja Z98 puerta calle EuroDesign 60 Bco-Bco/Qrz Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Bco/Qrz;6.5
541.350.313;Hoja Z98 puerta calle EuroDesign 60 Bco-Qrz/Bco Pres. 6.5 mts.;Hoja Z;;puerta calle EuroDesign 60 Bco-Qrz/Bco;6.5
564.230.173;Perfil de batiente 1 Euro-Desing 60 Mar-Negro M./Negro M. Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Mar-Negro M./Negro M.;6
564.230.174;Perfil de batiente 1 Euro-Desing 60 Bco-Bco/Negro M. Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Bco/Negro M.;6
564.230.176;Perfil de batiente 1 Euro-Desing 60 Bco-Negro M./Bco Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Negro M./Bco;6
564.230.208;Perfil de batiente 1 Euro-Desing 60 Mar-Hab/Hab Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Mar-Hab/Hab;6
564.230.218;Perfil de batiente 1 Euro-Desing 60 Bco-Bco/Hab Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Bco/Hab;6
564.230.220;Perfil de batiente 1 Euro-Desing 60 Bco-Hab/Bco Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Hab/Bco;6
564.230.214;Perfil de batiente 1 Euro-Desing 60 Mar-Tit/Tit Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Mar-Tit/Tit;6
564.230.216;Perfil de batiente 1 Euro-Desing 60 Bco-Bco/Tit Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Bco/Tit;6
564.230.217;Perfil de batiente 1 Euro-Desing 60 Bco-Tit/Bco Pres. 6 m.;Perfil de batiente;;Euro-Desing 60 Bco-Tit/Bco;6
500.616.001;Perfil mosquitero fijo\Contramarco 29 mm Blanco 5,8 m.;Perfil mosquitero fijo\Contramarco;;;29
500.929.020;Perfil mosquitero fijo\Contramarco 29 mm Bco-Rob  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Rob;29
500.929.022;Perfil mosquitero fijo\Contramarco 29 mm Bco-Ant L  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Ant L;29
500.929.021;Perfil mosquitero fijo\Contramarco 29 mm Bco-B Brown  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-B Brown;29
500.929.019;Perfil mosquitero fijo\Contramarco 29 mm Bco-Nog  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Nog;29
500.929.018;Perfil mosquitero fijo\Contramarco 29 mm Bco-Win  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Win;29
500.929.009;Perfil mosquitero fijo\Contramarco 29 mm Bco-Mon  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Mon;29
500.929.010;Perfil mosquitero fijo\Contramarco 29 mm Bco-Neg M.  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Neg M.;29
500.929.012;Perfil mosquitero fijo\Contramarco 29 mm Bco-Turn  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Turn;29
500.929.013;Perfil mosquitero fijo\Contramarco 29 mm Bco-Sheff A.  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Sheff A.;29
500.929.015;Perfil mosquitero fijo\Contramarco 29 mm Bco-Hab  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Hab;29
500.929.016;Perfil mosquitero fijo\Contramarco 29 mm Bco-Tit  Pres. 5,8 m.;Perfil mosquitero fijo\Contramarco;;mm Bco-Tit;29
500.929.032;Perfil mosquitero Fijo Bco-Ant M  Pres. 5,8 m.;Perfil mosquitero Fijo Bco-Ant M  Pres.;;;5.8
500.929.033;Perfil mosquitero Fijo Bco-Black S  Pres. 5,8 m.;Perfil mosquitero Fijo Bco-Black S  Pres.;;;5.8
500.929.030;Perfil mosquitero Fijo Bco-Nut  Pres. 5,8 m.;Perfil mosquitero Fijo Bco-Nut  Pres.;;;5.8
500.929.031;Perfil mosquitero Fijo Bco-Qrz  Pres. 5,8 m.;Perfil mosquitero Fijo Bco-Qrz  Pres.;;;5.8
596.290.174;Vierteaguas 3 Euro-Desing 60 Bco-Rob Pres. 6 m.;Vierteaguas;;Euro-Desing 60 Bco-Rob;6
